url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77246,seller-listing-requirements,Quy định về đăng bán sản phẩm trên Shopee,seller,listing-requirements-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77247,seller-prohibited-items-policy,Chính sách sản phẩm cấm/hạn chế bán,seller,prohibited-items-policy,vi,not-stated,public-source
